0.4: 大家好欢迎回到交易之刃
1.48: 打造美股交易之刃
2.68: 那么这个礼拜
3.68: 想先跟我们所有的频道的订阅者
6.86: 和我们的老铁们说一声节日快乐
10.06: 那么我们在两周的时间
12.22: 都跟大家提示比较多的风险
14.02: 也就是对于市场风险的一个提示
16.53: 那么我们通过的是数据
18.75: 通过的是为盘面的观察
20.99: 那么在周三的话出现了一个兑现
25.32: 那么兑现之后
26.52: 我们看到的是相反
28.12: 是对空头的一个
29.88: 类似于比较绝望的下跌
31.4: 那么在周三的时候
32.76: 其实我看到了一个非常有趣的现象
36.16: 同时要做很多的心灵的按摩
38.56: 我们的空头也非常的绝望
41.16: 那么我们多头也非常绝望
42.6: 这是一个双很少出现
44.55: 两边都非常不开心的这么一个看法
47.18: 那么为什么是这样
48.18: 那么后面该如何去应对
49.66: 我的观点是什么
50.66: 我的观点先跟大家已经说清楚
52.7: 就这个位置上是看多的
54.46: 尤其是短期看多
55.82: 但我们不改变就是美股长期仍然估值偏高
58.82: 缺少投资价值的这么一个事实
61.03: 那么另外一点是我们为什么说
62.63: 这个地方机会相对来说比风险多一些
65.03: 那么我们支撑的数据是什么
66.79: 我们是如何看的
67.79: 而且最重要的是你是如何操作的
71.08: 我希望通过我的操作的分享
73.24: 我希望通过我们数据的分享
75.44: 和真正实战中的这种分享
77.74: 给大家带来的是一个什么
79.62: 带来的是个比较价值比较有意义的分析
83.77: 我相信这个市场中
85.68: 我们的观众们不全都是
88.17: 或者说这肯定会有人不跟着流量跑
92.03: 一定有人去喜欢听一些理性的
94.71: 或者说不同的声音
95.99: 那么请您跟我进入今天的视频
99.54: 好我们先看一下上周的一个热力图
101.82: 那么这个热力图基本是红的
103.99: 那么最后的话我看有些是偏绿的
106.27: 有一些是偏绿的大部分都是红的
108.58: 那么我们想说的一个点是
109.94: 我们将回答两个问题第一
111.7: 我们所寻找的所谓的底部它的特征是什么
115.14: 我们在该什么地方
116.6: 对于大盘是相对底部的这么一个概念
118.8: 第二我们如果去做底部
120.96: 我们应该去选择什么样的公司
124.1: 或者说我们应该去选择什么样的板块去做
127.44: 那么我们的教育计划是什么
129.24: 我们今天把这两个问题先说清楚
132.16: 这周我们将频繁更新视频
134.28: 我会跟大家更新6周年的一个视频
136.4: 就是我们从散户到交易者的这么一个过程
140.52: 那么另外一点的话我们会有小徐老师
142.36: 跟大家更新的市场上
145.31: 对于明年的展望的一个牛篇
147.19: 就是关于如何看上7000点
150.22: 和一个对于明年的
152.36: 从其他的选股的单位
154.36: 就是比较权威的单位
155.72: 获得的选股的这么一个过程
157.28: 希望大家别忘了去关注我们频道
159.66: 有更多内容会跟大家更新
161.65: 好我们直接进入分析
163.08: 来跟大家分享一下当下市场的走势的看法
165.97: 那么先从多头角度来说
167.53: 我们提示风险的几个角度
169.71: 想跟大家说的是我们上面如果是去看
173.82: 我们看小盘在这个地方形成
175.94: 顶部是大约12月初
177.58: 那么如果我们看到
178.98: 道琼这次好像是创了一个记录的下跌时间
182.95: 回调的时间是非常长
184.35: 连续下跌了10来天
186.92: 那么它整个走弱的时间
188.39: 其实是在12月初和12月第一个礼拜
192.18: 那么这里已经走弱了
193.26: 那么我们看到纳斯达克在什么时候走弱
195.62: 纳斯达克 Nds它的走弱
198.6: 其实是在什么时候
199.6: 是真的只有周三这一天之前
201.96: 是一个快速的
203.08: 向上冲顶的这么一个过程
205.78: 那么三个指数出现强烈的分化
208.58: 不管是道琼
209.58: 不管是纳斯达克还是标普形成强烈的分化
212.24: 这本身就是市场风险的一个提示
214.76: 或者说风险的这么一个今天先分享干货
217.64: 就是当指数走分化的时候
219.68: 往往代表的是什么
221.28: 市场中有非常大的分歧
222.76: 而且资金会非常集中
224.56: 于那么一些大型的科技股
227.26: 那么这是我们作为多头的一个看法
229.46: 那么这个时候我们从另外一个角度来说
232.02: 如果你是一个空头的话
233.9: 那么周三的这么一个释放
236.27: 其实是非常不利的为什么
238.31: 因为我们所期望看到的是
240.27: 如果你是一个空头
241.19: 你想在这里布局做空
243.43: 我们比较大的或持久的这种下跌
245.87: 我们一般来说都要走
247.51: 大家我们就跟大家说
250.39: 我虽然很少用数浪
251.63: 那么这个地方其实是很符合浪型的
253.83: 那么比如说这是12
255.48: 大家看这个是不是三是最长的一是这样
258.2: 然后二的回调
259.0: 然后三是最长的
260.38: 四是最是个小回调然后5是什么
262.82: 加速
263.92: 其实这个走势它是一个非常符合
266.08: 所谓波浪理论的这么一个走势
267.76: 我们在后面想做一个比较好的
271.25: 空头的这么一个操作
272.81: 它的好核心位置
274.49: 一定要出现一个
275.93: 我们类似于五浪向上冲的这么一个过程
279.45: 大家看这里也是这是一个小的
282.36: 这是个小的你在这个位置上
284.24: 你当然可以把这段算一也好2也好
286.24: 3也好4也好
286.88: 那么它最后不管是5还是7
289.45: 它最后都有一个向上
290.69: 这样走的这么一个
292.32: 这样走的这么一个过程
293.76: 那么对于整个指数来说是一个非常好的
296.39: 我们如果是布局空头的话
298.51: 非常期待的就是标准
300.98: 普尔标普在这个位置上
304.03: 大家知道不是小碎步向上
306.07: 而是小碎步向上之后横盘以后
309.91: 完成了一个向上这么一个加速的过程
313.35: 同时市场上伴随着我们说宽度的降低
317.28: 指数的一个弱走弱
318.96: 那么这是我们非常想看到的一个
321.48: 就是说可以布局空头的这么一个机会
324.16: 但是周三的话这个地方的一个释放之后
327.52: 基本上我们所判断到一个
329.08: 作为做空机会的这么一个赛道
331.5: 基本上就可以说是宣告一个不太可能实现
334.29: 或者说是变弱了
336.67: 那么我们再从多头的角度来说
338.23: 我们可以看到为什么说
339.39: 这里更倾向于一个底部呢
341.4: 因为我们说道琼斯在这个位置上
343.52: 已经跌了非常多的时间
345.44: 小盘在这个位置上
346.56: 我可以专注跟大家一会再去讲
348.64: 那么大道琼斯小盘都在这个位置上
350.84: 跌了非常多时间
